#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
toggle_loan_decisions;Toggle Loan Decisions;;;;Alternar Decisiones de Préstamos;;;;;;;;;x
toggle_loan_decisions_desc;As a ruler you can take up loans in order to finance construction or war. At times this can be necessary to survive, or provide future gain, but do note that you'll have to pay 10% interest each year as long as you have loans, and another 10% upon repayment. As these loans are taken from Jewish bankers, they cannot be taken if Jews have been expelled from the realm.;;;;Como gobernante puedes tomar préstamos para construir o para la guerra. A veces es necesario para sobrevivir, o para poder invertir, pero ten en cuenta que el interés es del 10%, además de otro 10% tras la devolución. Sólo puedes pedir préstamos si no has expulsado a los judíos del reino.;;;;;;;;;x
take_small_loan;Take Small Loan;;;;Pedir Préstamo pequeño;;;;;;;;;x
take_small_loan_desc;Take up a loan of 100¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;Obtienes un préstamo de 100¤. Se cobra un interés del 10% cada año, además de otro 10% a la devolución.;;;;;;;;;x
take_medium_loan;Take Medium Loan;;;;Pedir Préstamo mediano;;;;;;;;;x
take_medium_loan_desc;Take up a loan of 200¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;Obtienes un préstamo de 200¤. Se cobra un interés del 10% cada año, además de otro 10% a la devolución.;;;;;;;;;x
take_large_loan;Take Large Loan;;;;Pedir Préstamo grande;;;;;;;;;x
take_large_loan_desc;Take up a loan of 400¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;Obtienes un préstamo de 400¤. Se cobra un interés del 10% cada año, además de otro 10% a la devolución.;;;;;;;;;x
take_huge_loan;Take Huge Loan;;;;Pedir Préstamo enorme;;;;;;;;;x
take_huge_loan_desc;Take up a loan of 800¤. 10% interest will be charged each year until repaid, and another 10% upon repayment.;;;;Obtienes un préstamo de 800¤. Se cobra un interés del 10% cada año, además de otro 10% a la devolución.;;;;;;;;;x
repay_small_loan;Repay Small Loan;;;;Devolver Préstamo pequeño;;;;;;;;;x
repay_small_loan_desc;Repay your small loan, paying 100¤ for the loan itself and 10¤ in interest.;;;;Devuelves tu préstamo pequeño, pagando 100¤ por el préstamo y 10¤ por intereses.;;;;;;;;;x
repay_medium_loan;Repay Medium Loan;;;;Devolver Préstamo mediano;;;;;;;;;x
repay_medium_loan_desc;Repay your medium loan, paying 200¤ for the loan itself and 20¤ in interest.;;;;Devuelves tu préstamo mediano, pagando 200¤ por el préstamo y 20¤ por intereses.;;;;;;;;;x
repay_large_loan;Repay Large Loan;;;;Devolver Préstamo grande;;;;;;;;;x
repay_large_loan_desc;Repay your large loan, paying 400¤ for the loan itself and 40¤ in interest.;;;;Devuelves tu préstamo grande, pagando 400¤ por el préstamo y 40¤ por intereses.;;;;;;;;;x
repay_huge_loan;Repay Huge Loan;;;;Devolver Préstamo enorme;;;;;;;;;x
repay_huge_loan_desc;Repay your huge loan, paying 800¤ for the loan itself and 80¤ in interest.;;;;Devuelves tu préstamo enorme, pagando 800¤ por el préstamo y 80¤ por intereses.;;;;;;;;;x
meneth.203.desc;We've got to pay interest on our loans.;;;;Debes pagar los intereses de tus préstamos;;;;;;;;;x
meneth.203.a;Pay Interest;;;;Pagar intereses;;;;;;;;;x
meneth.203.b;Pay Back as Much as Possible;;;;Devolver tanto como sea posible;;;;;;;;;x
pay_interest;Pay 10% Interest;;;;Pagar el 10% de interés;;;;;;;;;x
repay_loans;Pay 10% Interest and Pay Back as Much as Possible;;;;Pagar el 10% de interés y devolver tanto como sea posible.;;;;;;;;;x
small_loan;Small Loan;;;;Préstamo pequeño;;;;;;;;;x
medium_loan;Medium Loan;;;;Préstamo mediano;;;;;;;;;x
large_loan;Large Loan;;;;Préstamo grande;;;;;;;;;x
huge_loan;Huge Loan;;;;Préstamo enorme;;;;;;;;;x
