#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_convert_a_province_title;Convert a Province;;;;Convertir una provincia;;;;;;;;;x
obj_convert_a_province_desc;You want to convert a province, making your religious head happy and showing your piety to the world. Your stewardship will be reduced by two as you're busy helping your court chaplain convert the heathens.;;;;Deseas convertir una provincia, haciendo feliz al líder de tu fe y mostrando tu piedad al mundo. Tu habilidad administrativa se reduce a la mitad, pues estás muy ocupado ayudando a tu capellán a convertir a los paganos.;;;;;;;;;x
obj_amass_fortune_title;Amass Fortune;;;;Amasar una fortuna;;;;;;;;;x
obj_amass_fortune_desc;[This.GetTitledFirstName] is already well-off, but seeks a true fortune.;;;;[This.GetTitledFirstName] ya tiene dinero, pero busca tener una fortuna.;;;;;;;;;x
obj_amass_hoard_title;Amass a Hoard of Wealth;;;;Acaparar la riqueza;;;;;;;;;x
obj_amass_hoard_desc;[This.GetTitledFirstName] wants to swim in [This.GetPossPronoun] vault of gold!;;;;¡[This.GetTitledFirstName] quiere poder nadar en sus monedas de oro!;;;;;;;;;x
obj_publicly_pious_title;Be Seen Publicly As Pious;;;;Ser un piadoso reconocido;;;;;;;;;x
obj_publicly_pious_desc;[This.GetTitledFirstName] wants to be known to all as a pious [This.GetManWoman].;;;;[This.GetTitledFirstName] quiere que todos le conozcan por su piedad.;;;;;;;;;x
obj_known_for_virtue_title;Become Known for Virtue;;;;Ser un virtuoso reconocido;;;;;;;;;x
obj_known_for_virtue_desc;[This.GetTitledFirstName] seeks to become known for [This.GetPossPronoun] virtues.;;;;[This.GetTitledFirstName] quiere que todos le conozcan por sus virtudes.;;;;;;;;;x
obj_become_distinguished_title;Become Distinguished Among the Nobility;;;;Ser ensalzado entre la nobleza;;;;;;;;;x
obj_become_distinguished_desc;[This.GetTitledFirstName] seeks to become distinguished among the nobility.;;;;[This.GetTitledFirstName] quiere poder destacar de entre los demás nobles.;;;;;;;;;x
obj_seek_fame_glory_title;Seek Fame and Glory;;;;Alcanzar fama y gloria;;;;;;;;;x
obj_seek_fame_glory_desc;While already notable, [This.GetTitledFirstName] thinks [This.GetSheHe] deserves true fame and glory for [This.GetHerHis] deeds.;;;;Aunque ya es alguien importante, [This.GetTitledFirstName] piensa que merece alcanzar auténtica fama y gloria por sus hazañas.;;;;;;;;;x
opinion_known_virtue;Virtuous;;;;Virtuoso;;;;;;;;;x
opinion_fame_glory;Glorious;;;;Glorioso;;;;;;;;;x
