#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
expel_the_arsiyah;Expel the Arsiyah;;;;Expulsar a los Arsiyah;;;;;;;;;x
expel_the_arsiyah_desc;I can drive the Arsiyah from my realm and seize their castles. However, it is a very impious thing to do...;;;;Puedo expulsar a los Arsiyah de mi reino y apoderarme de sus castillos. Sin embargo, esto sería muy impío...;;;;;;;;;x
donate_money_to_arsiyah;Donate 300¤ to the Arsiyah;;;;Donar 300¤ a los Arsiyah;;;;;;;;;x
donate_money_to_arsiyah_desc;I can donate money to the Arsiyah in exchange for [Player.Religion.GetPietyName] and lifelong respect from [Player.Religion.GetName] Imams.;;;;Puedo donar dinero a los Arsiyah a cambio de [Player.Religion.GetPietyName] y respeto entre los Imanes [Player.Religion.GetName].;;;;;;;;;x
expel_the_saqaliba;Expel the Saqaliba;;;;Expulsar a los Saqaliba;;;;;;;;;x
expel_the_saqaliba_desc;I can drive the Saqaliba from my realm and seize their castles. However, it is a very impious thing to do...;;;;Puedo expulsar a los Saqaliba de mi reino y apoderarme de sus castillos. Sin embargo, esto sería muy impío...;;;;;;;;;x
donate_money_to_saqaliba;Donate 300¤ to the Saqaliba;;;;Donar 300¤ a los Saqaliba;;;;;;;;;x
donate_money_to_saqaliba_desc;I can donate money to the Saqaliba in exchange for [Player.Religion.GetPietyName] and lifelong respect from [Player.Religion.GetName] Imams.;;;;Puedo donar dinero a los Saqaliba a cambio de [Player.Religion.GetPietyName] y respeto entre los Imanes [Player.Religion.GetName].;;;;;;;;;x
#### EVENTS ####
### The Arsiyah
emf_holy_order.0.title;The Arsiyah;;;;Los Arsiyah;;;;;;;;;x
emf_holy_order.0.desc;A group of Khazars have formed themselves into a military order and taken the name of the Arsiyah. Originally mercenaries in service to the Khazar Khaganate, the Arsiyah were sworn never to fight fellow Muslims and formed an important part of the Khazar military. Now reborn, they are ready to serve [Root.Religion.GetName] lords against their religious enemies.;;;;Un grupo de Jázaros ha formado una orden militar con el nombre de Arsiyah. Originariamente mercenarios al servicio del Kaganato Jázaro, los Arsiyah juraron no volver a combatir contra musulmanes y formaron parte importante del ejército Jázaror. Ahora renacidos para servir a los señores [Root.Religion.GetName] contra sus enemigos.;;;;;;;;;x
emf_holy_order.0.a;They could be useful...;Il pourraient s'avérer utiles...;Sie könnten nützlich sein..;;Podrían ser útiles...;;;;;;;;;x
emf_holy_order.0.b;Mystic Soldiers? Pah!;Des soldats mystiques ? Pouah !;Mystische Soldaten? Pah!;;¿Soldados místicos? ¡Bah!;;;;;;;;;x
emf_holy_order.2.desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Arsiyah so [From.GetSheHe] may fight the infidel! This will forever disinherit [From.GetHerHim] and [From.GetSheHe] will never disgrace the dynasty with [From.GetHerHis] decadence.;;;;Mi [GetFromRelation], [From.GetTitledFirstName], ha solicitado unirse a los Arsiya, ¡para poder combatir a los infieles! Esto [From.GetRleRla] desheredará para siempre y no deshonrará a la dinastía con su decadencia.;;;;;;;;;x
emf_holy_order.3.tt;[This.GetTitledFirstName] joins the Arsiyah.;;;;[This.GetTitledFirstName] se une a los Arsiyah.;;;;;;;;;x
