#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS;;;;;;;;;;;;;;x
### Targeted decisions
emf_prisoner_house_arrest;Put under House Arrest;;;;;;;;;;;;;x
emf_prisoner_house_arrest_desc;As your prisoner, §Y[Root.GetTitledName]§! can be put under house arrest.;;;;;;;;;;;;;x
emf_prisoner_oubliette;Throw into Oubliette;;;;;;;;;;;;;x
emf_prisoner_oubliette_desc;As your prisoner, §Y[Root.GetTitledName]§! can be thrown into the Oubliette.;;;;;;;;;;;;;x
emf_prisoner_dungeon;Move to Dungeon;;;;;;;;;;;;;x
emf_prisoner_dungeon_desc;As your prisoner, §Y[Root.GetTitledName]§! can be moved into a regular dungeon cell.;;;;;;;;;;;;;x
emf_prisoner_castration;Castrate [Root.GetTitledFirstNameNoRegnal];Castrer [Root.GetTitledFirstNameNoRegnal];[Root.GetTitledFirstNameNoRegnal] kastrieren;;Castrado [Root.GetTitledFirstNameNoRegnal];;;;;;;;;x
emf_prisoner_castration_desc;As he is your prisoner, you may give the order to castrate §Y[Root.GetTitledName]§! and turn him into a eunuch. He will then be a free man, but unable to sire more spawn or hold landed titles. A severe punishment.;Comme il est votre prisonnier, vous pouvez donner l'ordre de castrer §Y[Root.GetTitledName]§! et le changer en eunuque. Il sera un homme libre, mais incapable d'engendrer une descendance ou de posséder des terres. Un châtiment sévère.;Als Euer Gefangener habt Ihr das Recht, §Y[Root.GetTitledName]§! kastrieren zu lassen und ihn zum Eunuchen zu machen. Er ist dann ein freier Mann, doch unfähig Nachkommen zu zeugen oder Grundbesitz sein Eigen zu nennen. Eine schwere Strafe.;;Cuando él es preso tuyo, puedes ordenar su castración a §Y[Root.GetTitledName]§! y conventirle en eunuco.  De ese modo será un hombre libre, incapaz de engendrar y sin posibilidad de ostentar títulos de hacendado. Un castigo duro. ;;;;;;;;;x
emf_prisoner_blinding;Blind [Root.GetTitledFirstNameNoRegnal];Aveugler [Root.GetTitledFirstNameNoRegnal];[Root.GetTitledFirstNameNoRegnal] blenden;;Ciego [Root.GetTitledFirstNameNoRegnal];;;;;;;;;x
emf_prisoner_blinding_desc;As [Root.GetSheHe] is your prisoner, you may give the order to permanently blind §Y[Root.GetTitledName]§! and then set [Root.GetHerHim] free. This is a common Byzantine way of dealing with political rivals without outright killing them, as a blind [Root.GetManWoman] is of little threat to the throne.;Comme [Root.GetSheHe] est sous votre emprise, vous pouvez donner l'ordre de rendre §Y[Root.GetTitledName]§! aveugle de façon permanente avant de [Root.GetHerHim] libérer. Cette pratique byzantine est commune pour se débarrasser des rivaux politiques sans;Da [Root.GetSheHe] Euer Gefangener ist, habt Ihr das Recht, §Y[Root.GetTitledName]§! das Augenlicht zu nehmen und [Root.GetHerHim] in die Freiheit zu entlassen. Dies ist die traditionelle byzantinische Art, mit politischen Rivalen umzugehen, ohne sie zu ;;Cuando [Root.GetSheHe] es preso tuyo, puedes ordenar hacer quedar permanente ciego a §Y[Root.GetTitledName]§! y luego poner en libertad a [Root.GetHerHim]. Esto es un modo bizantine común de tratar rivales políticos sin matarles abiertamente, ya que un [Root.GetManWoman] ciego es de poca amenaza para el trono.;;;;;;;;;x
emf_prisoner_zun_judgement;Judge [Root.GetTitledFirstNameNoRegnal];;;;;;;;;;;;;x
emf_prisoner_zun_judgement_desc;By having §Y[Root.GetTitledName]§! thrown into a pit in the middle of the desert, [Root.GetSubjectPronoun] shall be exposed to Zun for days and will be most likely given the 'justice' that [Root.GetSubjectPronoun] deserves.;En faisant jeter §Y[Root.GetTitledName]§! dans un puits au beau milieu du désert, vous le soumettrez au jugement de Zun pendant plusieurs jours. Il recevra alors la 'justice' qu'il mérite.;Indem wir §Y[Root.GetTitledName]§! in einer Grube mitten in der Wüste schmachten lassen, wo er tagelang Zun ausgesetzt sein wird, dürfte ihm die 'Gerechtigkeit' zuteil werden, die er verdient.;;Habiendo arrojado a §Y[Root.GetTitledName]§! en un pozo en medio del desierto, estará expuesto a Zun durante días y obtendrá, más probablemente, la “justicia” que se merece.;;;;;;;;;x
emf_prisoner_transfer;Transfer Prisoner;;;;;;;;;;;;;x
emf_prisoner_transfer_desc;Because you are at war with §Y[Root.GetTitledName]§!, and [Root.GetSubjectPronoun] is being held by your vassal, you can request §Y[Root.GetTitledFirstName]§! be transferred to your dungeons.;;;;;;;;;;;;;x
emf_prisoner_transfer_named;Request [Root.GetTitledFirstName] be moved to your dungeon.;;;;;;;;;;;;;x
### Bulk actions
emf_prisoner_ransom_all;Ransom All Prisoners;;;;Pedir rescate por todos los prisioneros;;;;;;;;;x
